Training nuLLM NANO on combined (conversation + jot)...
Device: cpu
Text length: 3203 chars
Vocab size: 82
Model params: 567,552 (0.57M)

Training for 200 epochs...

Epoch 3/200 | Batch 340 | Loss: 0.0842
Epoch 3/200 | Batch 350 | Loss: 0.0994
Epoch 3/200 | Batch 360 | Loss: 0.0660
Epoch 3/200 | Batch 370 | Loss: 0.0845
Epoch 3/200 | Batch 380 | Loss: 0.0188
Epoch 3/200 | Batch 390 | Loss: 0.0659
Epoch 3 | Avg Loss: 0.0765
Epoch 4/200 | Batch 0 | Loss: 0.0994
Epoch 4/200 | Batch 10 | Loss: 0.0674
Epoch 4/200 | Batch 20 | Loss: 0.0778
Epoch 4/200 | Batch 30 | Loss: 0.0642
Epoch 4/200 | Batch 40 | Loss: 0.0809
Epoch 4/200 | Batch 50 | Loss: 0.0621
Epoch 4/200 | Batch 60 | Loss: 0.0779
Epoch 4/200 | Batch 70 | Loss: 0.0937
Epoch 4/200 | Batch 80 | Loss: 0.0759
Epoch 4/200 | Batch 90 | Loss: 0.1129
Epoch 4/200 | Batch 100 | Loss: 0.0450
Epoch 4/200 | Batch 110 | Loss: 0.0864
Epoch 4/200 | Batch 120 | Loss: 0.1065
Epoch 4/200 | Batch 130 | Loss: 0.0796
Epoch 4/200 | Batch 140 | Loss: 0.0545
Epoch 4/200 | Batch 150 | Loss: 0.0601
Epoch 4/200 | Batch 160 | Loss: 0.0575
Epoch 4/200 | Batch 170 | Loss: 0.0811
Epoch 4/200 | Batch 180 | Loss: 0.0446
Epoch 4/200 | Batch 190 | Loss: 0.0782
Epoch 4/200 | Batch 200 | Loss: 0.0363
Epoch 4/200 | Batch 210 | Loss: 0.0520
Epoch 4/200 | Batch 220 | Loss: 0.0512
Epoch 4/200 | Batch 230 | Loss: 0.0794
Epoch 4/200 | Batch 240 | Loss: 0.0774
Epoch 4/200 | Batch 250 | Loss: 0.0566
Epoch 4/200 | Batch 260 | Loss: 0.0628
Epoch 4/200 | Batch 270 | Loss: 0.0713
Epoch 4/200 | Batch 280 | Loss: 0.0767
Epoch 4/200 | Batch 290 | Loss: 0.0606
Epoch 4/200 | Batch 300 | Loss: 0.0431
Epoch 4/200 | Batch 310 | Loss: 0.0552
Epoch 4/200 | Batch 320 | Loss: 0.0918
Epoch 4/200 | Batch 330 | Loss: 0.0665
Epoch 4/200 | Batch 340 | Loss: 0.0290
Epoch 4/200 | Batch 350 | Loss: 0.0419
Epoch 4/200 | Batch 360 | Loss: 0.1100
Epoch 4/200 | Batch 370 | Loss: 0.0725
Epoch 4/200 | Batch 380 | Loss: 0.0377
Epoch 4/200 | Batch 390 | Loss: 0.0532
Epoch 4 | Avg Loss: 0.0681
Epoch 5/200 | Batch 0 | Loss: 0.0397
Epoch 5/200 | Batch 10 | Loss: 0.0662
Epoch 5/200 | Batch 20 | Loss: 0.0641
Epoch 5/200 | Batch 30 | Loss: 0.0569
Epoch 5/200 | Batch 40 | Loss: 0.0726
Epoch 5/200 | Batch 50 | Loss: 0.0569
Epoch 5/200 | Batch 60 | Loss: 0.1007
Epoch 5/200 | Batch 70 | Loss: 0.0668
Epoch 5/200 | Batch 80 | Loss: 0.0655
Epoch 5/200 | Batch 90 | Loss: 0.0473
Epoch 5/200 | Batch 100 | Loss: 0.0443
Epoch 5/200 | Batch 110 | Loss: 0.0445
Epoch 5/200 | Batch 120 | Loss: 0.0599
Epoch 5/200 | Batch 130 | Loss: 0.0916
Epoch 5/200 | Batch 140 | Loss: 0.0477
Epoch 5/200 | Batch 150 | Loss: 0.0591
Epoch 5/200 | Batch 160 | Loss: 0.0368
Epoch 5/200 | Batch 170 | Loss: 0.0592
Epoch 5/200 | Batch 180 | Loss: 0.0244
Epoch 5/200 | Batch 190 | Loss: 0.0786
Epoch 5/200 | Batch 200 | Loss: 0.0517
Epoch 5/200 | Batch 210 | Loss: 0.0905
Epoch 5/200 | Batch 220 | Loss: 0.0733
Epoch 5/200 | Batch 230 | Loss: 0.0814
Epoch 5/200 | Batch 240 | Loss: 0.0541
Epoch 5/200 | Batch 250 | Loss: 0.0474
Epoch 5/200 | Batch 260 | Loss: 0.0465
Epoch 5/200 | Batch 270 | Loss: 0.0575
Epoch 5/200 | Batch 280 | Loss: 0.0744
Epoch 5/200 | Batch 290 | Loss: 0.0481
Epoch 5/200 | Batch 300 | Loss: 0.0612
Epoch 5/200 | Batch 310 | Loss: 0.0534
Epoch 5/200 | Batch 320 | Loss: 0.0768
Epoch 5/200 | Batch 330 | Loss: 0.0604
Epoch 5/200 | Batch 340 | Loss: 0.0253
Epoch 5/200 | Batch 350 | Loss: 0.0578
Epoch 5/200 | Batch 360 | Loss: 0.0842
Epoch 5/200 | Batch 370 | Loss: 0.0583
Epoch 5/200 | Batch 380 | Loss: 0.0739
Epoch 5/200 | Batch 390 | Loss: 0.0625
Epoch 5 | Avg Loss: 0.0609
Epoch 6/200 | Batch 0 | Loss: 0.0482
Epoch 6/200 | Batch 10 | Loss: 0.0353
Epoch 6/200 | Batch 20 | Loss: 0.0630
Epoch 6/200 | Batch 30 | Loss: 0.0362
Epoch 6/200 | Batch 40 | Loss: 0.0353
Epoch 6/200 | Batch 50 | Loss: 0.0595
Epoch 6/200 | Batch 60 | Loss: 0.0191
Epoch 6/200 | Batch 70 | Loss: 0.0635
Epoch 6/200 | Batch 80 | Loss: 0.0464
Epoch 6/200 | Batch 90 | Loss: 0.0342
Epoch 6/200 | Batch 100 | Loss: 0.0743
Epoch 6/200 | Batch 110 | Loss: 0.0582
Epoch 6/200 | Batch 120 | Loss: 0.0310
Epoch 6/200 | Batch 130 | Loss: 0.0477
Epoch 6/200 | Batch 140 | Loss: 0.0771
Epoch 6/200 | Batch 150 | Loss: 0.0315
Epoch 6/200 | Batch 160 | Loss: 0.0706
Epoch 6/200 | Batch 170 | Loss: 0.0186
Epoch 6/200 | Batch 180 | Loss: 0.0667
Epoch 6/200 | Batch 190 | Loss: 0.0512
Epoch 6/200 | Batch 200 | Loss: 0.0456
Epoch 6/200 | Batch 210 | Loss: 0.0387
Epoch 6/200 | Batch 220 | Loss: 0.0601
Epoch 6/200 | Batch 230 | Loss: 0.0701
Epoch 6/200 | Batch 240 | Loss: 0.0628
Epoch 6/200 | Batch 250 | Loss: 0.0774
Epoch 6/200 | Batch 260 | Loss: 0.0526
Epoch 6/200 | Batch 270 | Loss: 0.0357
Epoch 6/200 | Batch 280 | Loss: 0.0719
Epoch 6/200 | Batch 290 | Loss: 0.0657
Epoch 6/200 | Batch 300 | Loss: 0.0759
Epoch 6/200 | Batch 310 | Loss: 0.1009
Epoch 6/200 | Batch 320 | Loss: 0.0870
Epoch 6/200 | Batch 330 | Loss: 0.0654
Epoch 6/200 | Batch 340 | Loss: 0.0620
Epoch 6/200 | Batch 350 | Loss: 0.0396
Epoch 6/200 | Batch 360 | Loss: 0.0714
Epoch 6/200 | Batch 370 | Loss: 0.0524
Epoch 6/200 | Batch 380 | Loss: 0.0939
Epoch 6/200 | Batch 390 | Loss: 0.0791
Epoch 6 | Avg Loss: 0.0540
Epoch 7/200 | Batch 0 | Loss: 0.0594
Epoch 7/200 | Batch 10 | Loss: 0.0511
Epoch 7/200 | Batch 20 | Loss: 0.0627
Epoch 7/200 | Batch 30 | Loss: 0.0290
Epoch 7/200 | Batch 40 | Loss: 0.0348
Epoch 7/200 | Batch 50 | Loss: 0.0328
Epoch 7/200 | Batch 60 | Loss: 0.0447
Epoch 7/200 | Batch 70 | Loss: 0.0405
Epoch 7/200 | Batch 80 | Loss: 0.0346
Epoch 7/200 | Batch 90 | Loss: 0.0200
Epoch 7/200 | Batch 100 | Loss: 0.0632
Epoch 7/200 | Batch 110 | Loss: 0.0459
Epoch 7/200 | Batch 120 | Loss: 0.0613
Epoch 7/200 | Batch 130 | Loss: 0.0544
Epoch 7/200 | Batch 140 | Loss: 0.0565
Epoch 7/200 | Batch 150 | Loss: 0.0518
Epoch 7/200 | Batch 160 | Loss: 0.0616
Epoch 7/200 | Batch 170 | Loss: 0.0440
Epoch 7/200 | Batch 180 | Loss: 0.0142
Epoch 7/200 | Batch 190 | Loss: 0.0719
Epoch 7/200 | Batch 200 | Loss: 0.0455
Epoch 7/200 | Batch 210 | Loss: 0.0618
Epoch 7/200 | Batch 220 | Loss: 0.0216
Epoch 7/200 | Batch 230 | Loss: 0.0634
Epoch 7/200 | Batch 240 | Loss: 0.0623
Epoch 7/200 | Batch 250 | Loss: 0.0307
Epoch 7/200 | Batch 260 | Loss: 0.0410
Epoch 7/200 | Batch 270 | Loss: 0.0378
Epoch 7/200 | Batch 280 | Loss: 0.0417
Epoch 7/200 | Batch 290 | Loss: 0.0661
Epoch 7/200 | Batch 300 | Loss: 0.0476
Epoch 7/200 | Batch 310 | Loss: 0.0499
Epoch 7/200 | Batch 320 | Loss: 0.0542
Epoch 7/200 | Batch 330 | Loss: 0.0854
Epoch 7/200 | Batch 340 | Loss: 0.0746
Epoch 7/200 | Batch 350 | Loss: 0.0253
Epoch 7/200 | Batch 360 | Loss: 0.0700
Epoch 7/200 | Batch 370 | Loss: 0.0435
Epoch 7/200 | Batch 380 | Loss: 0.0465
Epoch 7/200 | Batch 390 | Loss: 0.0846
Epoch 7 | Avg Loss: 0.0475
Epoch 8/200 | Batch 0 | Loss: 0.0316
Epoch 8/200 | Batch 10 | Loss: 0.0458
Epoch 8/200 | Batch 20 | Loss: 0.0364
Epoch 8/200 | Batch 30 | Loss: 0.0513
Epoch 8/200 | Batch 40 | Loss: 0.0406
Epoch 8/200 | Batch 50 | Loss: 0.0409
Epoch 8/200 | Batch 60 | Loss: 0.0092
Epoch 8/200 | Batch 70 | Loss: 0.0259
Epoch 8/200 | Batch 80 | Loss: 0.0454
Epoch 8/200 | Batch 90 | Loss: 0.0517
Epoch 8/200 | Batch 100 | Loss: 0.0468
Epoch 8/200 | Batch 110 | Loss: 0.0532
Epoch 8/200 | Batch 120 | Loss: 0.0500
Epoch 8/200 | Batch 130 | Loss: 0.0322
